Chr	Start	End	ENSGID	Gene	HI	TS	GHIS	Episcores	LOEUF	pLI	Morbid_gene	OMIM_gene	Zscore_gene
chr1	1477053	1510249	ENSG00000160075	SSU72	NA	NA	0.571638785	0.2517	0.51	0.78	0	1	2.56
chr1	1533392	1535476	ENSG00000228594	C1orf233	NA	NA	0.514435701	0.116483333	1.83	0.12	0	0	1.43
chr1	1550795	1565990	ENSG00000197530	MIB2	NA	NA	0.578274698	0.212833333	0.62	0.00	0	1	0.62
chr1	1567474	1570639	ENSG00000189409	MMP23B	NA	NA	0.57937099	0.099533333	1.83	0.12	0	1	0.54
chr1	1570603	1590473	ENSG00000248333	CDK11B	NA	NA	0.498424155	0.044433333	0.68	0.00	0	1	1.72
chr1	1592939	1624167	ENSG00000189339	SLC35E2B	NA	NA	0.602818196	0.084933333	0.96	0.00	0	1	0.99
chr1	1634169	1655766	ENSG00000008128	CDK11A	NA	NA	0.518849399	0.0524	1.29	0.00	0	1	-0.83
chr1	1656277	1677431	ENSG00000215790	SLC35E2	NA	NA	0.427951038	0.090666667	0.96	0.00	0	1	0.99
chr1	1682671	1711896	ENSG00000008130	NADK	NA	NA	0.587127979	0.379916667	0.99	0.00	0	1	1.88
chr1	1716729	1822495	ENSG00000078369	GNB1	1	0	0.675579826	0.4903	0.14	1.00	1	1	3.83
chr1	1846266	1848735	ENSG00000169885	CALML6	NA	NA	0.405691735	0.076833333	1.76	0.00	0	1	0.05
chr1	1849029	1850712	ENSG00000178821	TMEM52	NA	NA	0.398820433	0.1105	1.61	0.01	0	0	-0.38
chr1	1853396	1935276	ENSG00000142609	C1orf222	NA	NA	0.439712305	0.380083333	0.79	0.00	0	0	1.16
chr1	1950780	1962192	ENSG00000187730	GABRD	NA	NA	0.545913348	0.430783333	0.24	0.99	1	1	2.17
chr1	1981909	2116834	ENSG00000067606	PRKCZ	NA	NA	0.685085724	0.2358	0.40	0.54	0	1	2.80
chr1	2115903	2144159	ENSG00000162585	C1orf86	NA	NA	0.645410191	0.190483333	0.75	0.53	0	1	0.20
chr1	2160134	2241558	ENSG00000157933	SKI	0	0	0.58972205	0.647466667	0.19	1.00	1	1	1.51
chr1	2252692	2323146	ENSG00000116151	MORN1	NA	NA	0.621926248	0.270783333	1.12	0.00	0	0	-0.28
chr1	2323267	2336883	ENSG00000157916	RER1	NA	NA	0.633157159	0.259983333	0.58	0.38	0	0	2.13
chr1	2336236	2345236	ENSG00000157911	PEX10	NA	NA	0.546045359	0.29455	0.86	0.00	1	1	-0.29
chr1	2357419	2436969	ENSG00000149527	PLCH2	NA	NA	0.601112796	0.306866667	0.96	0.00	0	1	1.23
chr1	2439972	2458039	ENSG00000157881	PANK4	NA	NA	0.539799595	0.337683333	0.30	0.98	0	1	2.42
chr1	2460184	2461684	ENSG00000197921	HES5	NA	NA	0.561491194	0.3454	1.34	0.25	0	1	-0.59
chr1	2487078	2496821	ENSG00000157873	TNFRSF14	NA	NA	0.454389866	0.19485	0.44	0.81	0	1	0.61
chr1	2517930	2522908	ENSG00000157870	FAM213B	NA	NA	0.559117185	0.319066667	1.52	0.00	0	0	0.35
chr1	2522078	2564481	ENSG00000142606	MMEL1	NA	NA	0.382354743	0.261016667	1.00	0.00	0	1	0.13
chr1	2567415	2718286	ENSG00000215912	TTC34	NA	NA	0.4164317	0.301166667	1.65	0.00	0	0	0.27
chr1	2938046	2939465	ENSG00000169717	ACTRT2	NA	NA	0.410546352	0.278133333	1.38	0.00	0	1	-0.40
chr1	2976179	2985001	ENSG00000177133	LINC00982	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	2985732	3355185	ENSG00000142611	PRDM16	NA	NA	0.499042974	0.623016667	0.19	1.00	1	1	1.35
chr1	3370990	3397677	ENSG00000130762	ARHGEF16	NA	NA	0.48689785	0.2237	1.02	0.00	0	1	0.46
chr1	3406484	3528059	ENSG00000162591	MEGF6	NA	NA	0.405589936	0.2745	0.91	0.00	0	1	0.46
chr1	3541566	3546691	ENSG00000158109	TPRG1L	NA	NA	0.560816819	0.263516667	1.49	0.00	0	1	0.78
chr1	3547331	3569325	ENSG00000116213	WRAP73	NA	NA	0.561122869	0.747883333	0.80	0.00	0	1	0.01
chr1	3569084	3652765	ENSG00000078900	TP73	0	0	0.64230048	0.838483333	0.26	1.00	1	1	1.85
chr1	3652548	3663900	ENSG00000227372	TP73-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	3668962	3688209	ENSG00000162592	CCDC27	NA	NA	0.4213011	0.223983333	1.43	0.00	0	0	-0.06
chr1	3689352	3692546	ENSG00000235169	SMIM1	NA	NA	0.515081971	0.152233333	1.82	0.03	1	1	0.83
chr1	3696784	3713068	ENSG00000130764	LRRC47	NA	NA	0.575795774	0.426066667	0.41	0.87	0	1	1.03
chr1	3728645	3773778	ENSG00000116198	CEP104	NA	NA	0.531209857	0.199	0.74	0.00	1	1	0.44
chr1	3773845	3801993	ENSG00000169598	DFFB	NA	NA	0.559672752	0.270566667	1.08	0.00	1	1	0.41
chr1	3805689	3816857	ENSG00000198912	C1orf174	NA	NA	0.507225582	0.24115	1.41	0.00	0	0	0.02
chr1	4714792	4852594	ENSG00000196581	AJAP1	NA	NA	0.443965972	0.53575	0.19	0.99	0	1	0.94
chr1	5922871	6052533	ENSG00000131697	NPHP4	30	NA	0.588912883	0.485533333	0.98	0.00	1	1	-0.24
chr1	6051526	6161253	ENSG00000069424	KCNAB2	NA	NA	0.537181627	0.751183333	0.39	0.80	0	1	2.60
chr1	6161853	6240183	ENSG00000116254	CHD5	NA	NA	0.631245243	0.764966667	0.07	1.00	0	1	4.00
chr1	6241329	6269449	ENSG00000116251	RPL22	NA	NA	0.657780535	0.489883333	1.04	0.16	0	1	1.67
chr1	6265535	6281359	ENSG00000158286	RNF207	NA	NA	0.527587206	0.295766667	0.95	0.00	0	1	0.45
chr1	6281253	6296032	ENSG00000116237	ICMT	NA	NA	0.417247617	0.492466667	0.45	0.79	0	1	2.42
chr1	6296300	6299504	ENSG00000225077	LINC00337	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	6304252	6305638	ENSG00000173673	HES3	NA	NA	NA	0.442566667	1.25	0.28	0	1	0.58
chr1	6307406	6321035	ENSG00000158292	GPR153	NA	NA	0.476151204	0.16255	1.29	0.00	0	1	0.67
chr1	6324329	6454451	ENSG00000097021	ACOT7	NA	NA	0.64840289	0.187716667	0.43	0.76	0	1	1.98
chr1	6472478	6484730	ENSG00000069812	HES2	NA	NA	0.604616403	0.627416667	1.72	0.00	0	1	0.84
chr1	6484848	6521430	ENSG00000187017	ESPN	30	0	0.52019457	0.704566667	0.93	0.00	1	1	-0.08
chr1	6521211	6526255	ENSG00000215788	TNFRSF25	30	0	0.478914137	0.175916667	0.60	0.01	1	1	1.57
chr1	6526152	6580121	ENSG00000171680	PLEKHG5	30	0	0.55643254	0.30025	0.56	0.00	1	1	1.49
chr1	6581407	6614595	ENSG00000162408	NOL9	NA	NA	0.54064033	0.095733333	0.55	0.01	0	0	1.55
chr1	6615241	6639817	ENSG00000173662	TAS1R1	NA	NA	NA	0.103116667	1.17	0.00	0	1	0.41
chr1	6640061	6649340	ENSG00000204859	ZBTB48	NA	NA	0.592266602	0.15585	0.64	0.00	0	1	1.21
chr1	6650784	6674667	ENSG00000162413	KLHL21	NA	NA	0.543200112	0.6851	1.13	0.00	0	1	1.49
chr1	6673745	6684093	ENSG00000116273	PHF13	NA	NA	0.571628888	0.606733333	0.25	0.98	0	0	1.76
chr1	6684926	6695646	ENSG00000041988	THAP3	NA	NA	0.459695843	0.187416667	1.36	0.01	0	1	0.20
chr1	6694228	6761984	ENSG00000007923	DNAJC11	NA	NA	0.555319037	0.217533333	0.24	1.00	0	1	1.85
chr1	6845384	7829766	ENSG00000171735	CAMTA1	3	0	0.609357945	0.884933333	0.17	1.00	1	1	3.26
chr1	7429003	7430331	ENSG00000237402	CAMTA1-IT1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	7831329	7841492	ENSG00000049245	VAMP3	NA	NA	0.632650704	0.296116667	1.27	0.00	0	1	0.12
chr1	7844380	7905237	ENSG00000049246	PER3	NA	NA	0.436547844	0.22035	0.84	0.00	1	1	-0.11
chr1	7903143	7913572	ENSG00000049247	UTS2	NA	NA	NA	0.07595	1.27	0.03	0	1	0.28
chr1	7979907	8000926	ENSG00000049249	TNFRSF9	NA	NA	NA	0.223983333	0.61	0.32	0	1	0.36
chr1	8014351	8045565	ENSG00000116288	PARK7	30	0	0.537359634	0.366666667	0.53	0.75	1	1	0.16
chr1	8064464	8086368	ENSG00000116285	ERRFI1	NA	NA	0.380991157	0.7221	0.88	0.01	0	1	0.90
chr1	8377886	8404227	ENSG00000162426	SLC45A1	NA	NA	0.620230678	0.066933333	0.74	0.00	1	1	1.47
chr1	8412457	8877702	ENSG00000142599	RERE	NA	NA	0.621248031	0.780083333	0.12	1.00	1	1	2.03
chr1	8921061	8939308	ENSG00000074800	ENO1	NA	NA	0.644487565	0.801616667	0.86	0.00	1	1	0.84
chr1	8935847	8938066	ENSG00000236269	ENO1-IT1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	8938894	8939953	ENSG00000230679	ENO1-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	9005926	9035151	ENSG00000131686	CA6	NA	NA	NA	0.237266667	0.92	0.00	0	1	0.08
chr1	9063359	9086404	ENSG00000197241	SLC2A7	NA	NA	NA	0.100683333	1.67	0.00	0	1	-0.02
chr1	9095166	9148537	ENSG00000142583	SLC2A5	NA	NA	0.557364557	0.206183333	1.19	0.00	0	1	1.54
chr1	9160364	9189229	ENSG00000180758	GPR157	NA	NA	0.505825671	0.182083333	1.19	0.00	0	0	-0.06
chr1	9294834	9331396	ENSG00000049239	H6PD	30	0	0.564767588	0.2744	0.94	0.00	1	1	-1.13
chr1	9352939	9429591	ENSG00000171621	SPSB1	NA	NA	0.509135257	0.39325	0.59	0.52	0	1	2.21
chr1	9599541	9645237	ENSG00000171612	SLC25A33	NA	NA	0.534887907	0.1683	0.82	0.01	0	1	0.84
chr1	9648932	9674935	ENSG00000188807	TMEM201	NA	NA	0.516223914	0.193316667	0.29	0.99	0	0	1.33
chr1	9711790	9789172	ENSG00000171608	PIK3CD	NA	NA	0.652854774	0.278616667	0.31	0.98	1	1	1.02
chr1	9712668	9714644	ENSG00000179840	C1orf200	NA	NA	0.50811318	0.25855	1.84	0.03	0	0	0.72
chr1	9789084	9884584	ENSG00000171603	CLSTN1	NA	NA	0.584976103	0.421516667	0.31	0.98	1	1	1.02
chr1	9908334	9970394	ENSG00000178585	CTNNBIP1	NA	NA	0.448023078	0.267066667	1.38	0.02	0	1	0.53
chr1	9982173	10003465	ENSG00000162441	LZIC	NA	NA	0.606580599	0.143733333	1.14	0.00	0	1	0.84
chr1	10003486	10045559	ENSG00000173614	NMNAT1	NA	NA	0.431240924	0.129933333	0.88	0.04	1	1	0.63
chr1	10057264	10076078	ENSG00000162444	RBP7	NA	NA	0.409362392	0.13695	0.73	0.54	0	1	1.08
chr1	10092890	10241297	ENSG00000130939	UBE4B	NA	NA	0.613958836	0.42605	0.16	1.00	0	1	3.73
chr1	10270863	10441661	ENSG00000054523	KIF1B	NA	NA	0.561235016	0.622183333	0.17	1.00	1	1	3.60
chr1	10458649	10480201	ENSG00000142657	PGD	NA	NA	0.605274684	0.31625	0.78	0.00	1	1	0.21
chr1	10490159	10512210	ENSG00000175279	APITD1	NA	NA	0.573021917	0.202166667	1.71	0.00	0	1	-1.11
chr1	10490159	10512210	ENSG00000251503	APITD1-CORT	NA	NA	0.393837367	0.202166667	1.71	0.00	0	1	-1.11
chr1	10509776	10511959	ENSG00000241563	CORT	NA	NA	0.499180398	0.056633333	1.94	0.01	0	1	-1.55
chr1	10516579	10532583	ENSG00000160049	DFFA	NA	NA	0.485554785	0.303666667	1.16	0.00	0	1	0.32
chr1	10532345	10690815	ENSG00000142655	PEX14	30	0	0.547769366	0.306433333	0.52	0.23	1	1	1.27
chr1	10696661	10856707	ENSG00000130940	CASZ1	1	0	0.590074286	0.7843	0.15	1.00	0	1	2.61
chr1	11006528	11042094	ENSG00000175262	C1orf127	NA	NA	0.418567132	0.1532	1.04	0.00	0	1	0.66
chr1	11072414	11085796	ENSG00000120948	TARDBP	0	0	0.686164821	0.318716667	0.28	0.99	1	1	3.71
chr1	11086580	11107290	ENSG00000009724	MASP2	30	NA	0.403717532	0.05775	1.15	0.00	1	1	0.06
chr1	11114641	11120081	ENSG00000116649	SRM	NA	NA	0.594364028	0.26245	1.52	0.00	0	1	0.01
chr1	11126675	11159938	ENSG00000171824	EXOSC10	NA	NA	0.626495605	0.1699	0.74	0.00	0	1	0.87
chr1	11166592	11322564	ENSG00000198793	MTOR	NA	NA	0.619142138	0.1006	0.18	1.00	1	1	7.02
chr1	11203955	11209594	ENSG00000225602	MTOR-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	11249398	11256038	ENSG00000171819	ANGPTL7	NA	NA	0.514797363	0.0474	1.75	0.00	0	1	0.13
chr1	11333263	11356106	ENSG00000120942	UBIAD1	NA	NA	0.614802715	0.303816667	1.03	0.02	1	1	1.12
chr1	11539223	11597641	ENSG00000204624	PTCHD2	NA	NA	0.544054734	0.5047	0.55	0.00	0	1	1.52
chr1	11708424	11715842	ENSG00000116661	FBXO2	NA	NA	0.547314878	0.180216667	1.00	0.00	0	1	0.09
chr1	11714432	11723384	ENSG00000132879	FBXO44	NA	NA	0.677571522	0.17295	1.14	0.00	0	1	0.35
chr1	11724181	11734411	ENSG00000116663	FBXO6	NA	NA	0.473168798	0.037166667	0.84	0.02	0	1	-0.25
chr1	11734537	11751707	ENSG00000116670	MAD2L2	NA	NA	0.510168621	0.513366667	0.72	0.08	1	1	1.57
chr1	11751786	11785914	ENSG00000162490	DRAXIN	NA	NA	0.402240778	0.467866667	1.53	0.00	0	1	1.32
chr1	11796141	11814859	ENSG00000177674	AGTRAP	NA	NA	0.575470962	0.144983333	0.95	0.19	0	1	0.45
chr1	11821844	11849642	ENSG00000215910	C1orf167	NA	NA	NA	0.049866667	1.05	0.00	0	0	1.12
chr1	11845780	11866977	ENSG00000177000	MTHFR	30	NA	0.547806247	0.727916667	0.92	0.00	1	1	0.90
chr1	11866207	11903201	ENSG00000011021	CLCN6	NA	NA	0.61250373	0.68915	0.61	0.00	0	1	1.59
chr1	11901074	11908136	ENSG00000242349	NPPA-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	11905766	11908402	ENSG00000175206	NPPA	NA	NA	0.4195436	0.2579	1.74	0.00	1	1	-0.27
chr1	11917521	11918988	ENSG00000120937	NPPB	NA	NA	NA	0.386283333	1.86	0.00	0	1	-0.15
chr1	11979648	11986485	ENSG00000116685	KIAA2013	NA	NA	0.46221112	0.242266667	0.76	0.01	0	0	1.83
chr1	11994262	12035595	ENSG00000083444	PLOD1	30	NA	0.501682015	0.10125	0.94	0.00	1	1	0.39
chr1	12040238	12073571	ENSG00000116688	MFN2	0	0	0.575509793	0.215883333	0.28	0.99	1	1	1.66
chr1	12079523	12092102	ENSG00000116691	MIIP	NA	NA	0.496911207	0.058183333	1.74	0.00	0	1	-0.22
chr1	12123434	12204264	ENSG00000120949	TNFRSF8	NA	NA	0.505810257	0.331966667	0.36	0.86	0	1	0.94
chr1	12227060	12269285	ENSG00000028137	TNFRSF1B	NA	NA	0.52208838	0.2897	0.48	0.50	0	1	0.93
chr1	12290124	12572099	ENSG00000048707	VPS13D	NA	NA	0.587060249	0.382283333	0.33	0.00	1	1	2.50
chr1	12627939	12677737	ENSG00000162496	DHRS3	NA	NA	0.554286873	0.72285	0.67	0.23	0	1	1.48
chr1	12704566	12727097	ENSG00000204518	AADACL4	NA	NA	0.426778283	0.01585	1.68	0.00	0	0	-0.94
chr1	12776118	12788726	ENSG00000188984	AADACL3	NA	NA	NA	0.1922	1.70	0.01	0	0	-0.34
chr1	12806163	12823847	ENSG00000157330	C1orf158	NA	NA	NA	0.2081	1.55	0.00	0	0	0.14
chr1	12834984	12838049	ENSG00000116726	PRAMEF12	NA	NA	NA	0.157183333	1.26	0.00	0	0	-1.13
chr1	12851546	12856777	ENSG00000116721	PRAMEF1	NA	NA	NA	0.007516667	1.88	0.00	0	0	-2.13
chr1	12884468	12891264	ENSG00000204513	PRAMEF11	NA	NA	NA	0.011416667	1.31	0.00	0	0	-3.69
chr1	12907261	12908578	ENSG00000179172	HNRNPCL1	NA	NA	NA	0.004983333	1.77	0.37	0	0	-1.38
chr1	12916941	12921764	ENSG00000120952	PRAMEF2	NA	NA	NA	0.007366667	1.81	0.00	0	0	-3.95
chr1	12939045	12946025	ENSG00000243073	PRAMEF4	NA	NA	NA	0.000166667	1.93	0.00	0	0	-3.70
chr1	12952727	12958101	ENSG00000187545	PRAMEF10	NA	NA	NA	0.000583333	1.54	0.00	0	0	-1.57
chr1	12976450	12980569	ENSG00000204510	PRAMEF7	NA	NA	NA	0.000333333	1.84	0.33	0	0	0.24
chr1	12998181	13117751	ENSG00000232423	PRAMEF6	NA	NA	NA	0.000583333	1.98	0.00	0	0	-2.20
chr1	13035543	13038381	ENSG00000204508	PRAMEF22	NA	NA	NA	0.000583333	1.91	0.00	0	0	-0.36
chr1	13216356	13219581	ENSG00000229571	PRAMEF26	NA	NA	NA	0.000416667	1.95	0.00	0	0	-1.35
chr1	13359819	13369057	ENSG00000204502	PRAMEF5	NA	NA	NA	0.000583333	NA	NA	0	0	NA
chr1	13386646	13390765	ENSG00000182330	PRAMEF8	NA	NA	0.396283776	0.000583333	NA	NA	0	0	NA
chr1	13421176	13428191	ENSG00000204501	PRAMEF9	NA	NA	0.393952739	0.000583333	NA	NA	0	0	NA
chr1	13447414	13452656	ENSG00000204495	PRAMEF13	NA	NA	NA	0.000583333	1.89	0.29	0	0	-0.81
chr1	13474689	13477522	ENSG00000204491	PRAMEF18	NA	NA	NA	0.000583333	1.88	0.30	0	0	-0.80
chr1	13516066	13526943	ENSG00000204486	PRAMEF21	NA	NA	0.408726757	0.000583333	1.93	0.00	0	0	-0.52
chr1	13641973	13648988	ENSG00000157358	PRAMEF15	NA	NA	0.398014023	0.000583333	1.84	0.33	0	0	0.07
chr1	13668269	13673511	ENSG00000204481	PRAMEF14	NA	NA	NA	0.000583333	1.89	0.29	0	0	-0.60
chr1	13694889	13698405	ENSG00000204480	PRAMEF19	NA	NA	0.467927007	0.000583333	1.94	0.06	0	0	0.31
chr1	13716092	13719089	ENSG00000204479	PRAMEF17	NA	NA	NA	0.000583333	1.95	0.00	0	0	-0.43
chr1	13736907	13747803	ENSG00000204478	PRAMEF20	NA	NA	0.467927007	0.000583333	1.93	0.00	0	0	-0.52
chr1	13801445	13840543	ENSG00000162494	LRRC38	NA	NA	0.484267036	0.371116667	1.08	0.14	0	1	1.23
chr1	13909960	13944452	ENSG00000162493	PDPN	NA	NA	0.463044847	0.58885	1.15	0.00	0	1	-0.52
chr1	14026693	14151574	ENSG00000116731	PRDM2	NA	NA	0.574792295	0.615383333	0.22	1.00	0	1	1.08
chr1	14925200	15444539	ENSG00000189337	KAZN	NA	NA	0.546961499	0.638583333	0.38	0.60	0	1	2.31
chr1	15479028	15546976	ENSG00000171729	TMEM51	NA	NA	0.487445511	0.6191	0.77	0.30	0	0	0.43
chr1	15490840	15497813	ENSG00000204464	C1orf195	NA	NA	0.420290343	0.115816667	1.67	0.17	0	0	0.56
chr1	15573768	15726779	ENSG00000142621	FHAD1	NA	NA	NA	0.3494	1.35	0.00	0	0	1.00
chr1	15736391	15756839	ENSG00000142634	EFHD2	NA	NA	0.548726336	0.421916667	1.27	0.01	0	1	0.96
chr1	15764935	15775737	ENSG00000162438	CTRC	NA	NA	0.404174052	0.092366667	1.69	0.00	1	1	-0.13
chr1	15783223	15798586	ENSG00000142615	CELA2A	NA	NA	0.416538938	0.0365	1.83	0.00	0	1	0.04
chr1	15792404	15817895	ENSG00000215704	CELA2B	NA	NA	0.408465313	0.0245	1.11	0.00	0	1	-0.43
chr1	15817327	15853029	ENSG00000132906	CASP9	NA	NA	0.413265718	0.8297	0.97	0.00	0	1	0.03
chr1	15853308	15918874	ENSG00000116138	DNAJC16	NA	NA	0.657918902	0.8329	0.78	0.00	0	0	0.37
chr1	15898848	15911605	ENSG00000116771	AGMAT	NA	NA	NA	0.047033333	1.54	0.00	0	1	0.80
chr1	15943995	15995539	ENSG00000197312	DDI2	NA	NA	0.594116216	0.478483333	0.21	1.00	0	0	2.73
chr1	15986364	15988217	ENSG00000215695	RSC1A1	3	0	0.415831971	0.008866667	1.52	0.00	1	1	-0.24
chr1	16010827	16061264	ENSG00000116786	PLEKHM2	NA	NA	0.519221314	0.388766667	0.54	0.00	0	1	2.00
chr1	16062900	16067891	ENSG00000162461	SLC25A34	NA	NA	0.489276453	0.035166667	1.34	0.00	0	1	-0.22
chr1	16068917	16074477	ENSG00000162460	TMEM82	NA	NA	NA	0.0498	1.41	0.00	0	0	-0.04
chr1	16083102	16113089	ENSG00000162458	FBLIM1	NA	NA	0.476907663	0.551366667	1.25	0.00	0	1	0.53
chr1	16174359	16266955	ENSG00000065526	SPEN	1	0	0.606030056	0.78815	0.28	0.99	1	1	1.77
chr1	16268364	16302627	ENSG00000116809	ZBTB17	NA	NA	0.635162433	0.1032	0.31	0.98	0	1	3.73
chr1	16330731	16335302	ENSG00000183888	C1orf64	NA	NA	0.424735536	0.0295	1.85	0.11	0	1	0.11
chr1	16340523	16346089	ENSG00000173641	HSPB7	NA	NA	0.580943079	0.041066667	1.58	0.02	0	1	0.43
chr1	16345370	16360545	ENSG00000186510	CLCNKA	30	0	0.404727303	0.04235	1.12	0.00	1	1	-0.33
chr1	16370272	16383803	ENSG00000184908	CLCNKB	30	0	0.3883145	0.040983333	1.24	0.00	1	1	-0.56
chr1	16384264	16400127	ENSG00000185519	FAM131C	NA	NA	0.501408222	0.139316667	0.89	0.01	0	0	-0.19
chr1	16450832	16482582	ENSG00000142627	EPHA2	NA	NA	0.465309591	0.5473	0.56	0.00	1	1	1.56
chr1	16524349	16524852	ENSG00000234166	ARHGEF19-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	16524349	16539104	ENSG00000142632	ARHGEF19	NA	NA	0.458741138	0.210616667	1.15	0.00	0	1	0.97
chr1	16558195	16563657	ENSG00000132881	RSG1	NA	NA	0.562731229	0.113	1.63	0.00	0	0	0.62
chr1	16573334	16678949	ENSG00000037637	FBXO42	NA	NA	0.545511516	0.364466667	0.27	1.00	0	1	2.09
chr1	16679070	16724640	ENSG00000055070	SZRD1	NA	NA	0.660856929	0.354266667	0.67	0.60	0	0	0.52
chr1	16713612	16763919	ENSG00000187144	SPATA21	NA	NA	0.426320083	0.173166667	1.50	0.00	0	0	-0.01
chr1	16767167	16786573	ENSG00000157191	NECAP2	NA	NA	0.406903459	0.175583333	1.45	0.00	0	1	0.27
